price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,when_sold,district
975000,4,2.5,11049,2,0,0,3,10,2720,0,1989,0,2750,11049,1668,2
287000,4,2.5,4648,2,0,0,3,7,2240,0,2005,0,2221,4557,1638,3
204000,3,1,12070,1,0,0,4,7,1000,0,1968,0,1010,12635,1683,4
1325000,5,2.25,20158,1,0,0,3,8,1600,1600,1965,0,3390,20158,1757,2
1040000,5,3.25,50094,1,0,0,4,11,3070,1700,1973,0,3530,38917,1665,2
325000,3,2,5612,1,0,0,4,7,1260,0,1972,0,1640,4745,1550,2
571000,4,2,7807,1.5,0,0,5,7,2250,500,1916,0,1510,7807,1759,1
360000,4,2.5,5000,2,0,0,3,8,2380,0,2005,0,2420,5000,1729,4
349000,3,1.75,50529,1,0,0,5,7,1090,700,1965,0,1940,50529,1480,4
832500,4,4,35102,2,0,0,4,10,2390,1040,1986,0,3240,35020,1611,2
380000,4,1.75,7300,1,0,0,3,7,880,880,1956,0,1680,7500,1634,2
480000,3,1,5060,1,0,0,3,7,1040,0,1941,0,890,5060,1445,1
410000,3,1,5060,1,0,0,4,7,910,500,1956,0,1130,5693,1760,1
720000,4,2.5,39683,2,0,0,3,10,3450,0,2002,0,3350,39750,1473,4
390000,3,2.5,5100,2,0,0,3,8,2350,0,2003,0,2350,5363,1584,4
360000,4,2.5,5889,2,0,0,3,7,1900,0,1992,0,1870,6405,1564,4
355000,2,1,6720,1,0,0,3,7,1010,1010,1948,0,1720,6720,1619,1
356000,3,1.5,8712,1,0,0,3,8,1680,0,1964,0,1850,8797,1527,4
315000,3,1,6634,1,0,0,3,6,960,0,1952,0,1570,7203,1767,1
940000,3,1.5,3600,2,0,0,3,9,1900,240,1925,0,2020,4800,1602,1
305000,5,2.25,8400,1.5,0,0,5,7,2660,0,1961,0,1590,8165,1613,3
461000,3,3.25,6278,2,0,0,3,9,1980,790,2006,0,1900,7349,1751,4
215000,2,2.25,2040,2,0,0,4,7,1610,0,1979,0,1950,2025,1781,4
335000,2,1.75,1066,2,0,0,3,7,765,265,2006,0,1030,1106,1673,1
243500,4,2.5,7403,2,0,0,3,7,1980,0,1988,0,1980,7510,1778,3
1099880,5,2.75,6353,2,0,0,4,10,3520,0,2001,0,2520,6250,1485,1
153000,3,1,10500,1,0,0,3,7,1200,0,1962,0,1350,10500,1498,3
430000,3,1.5,5000,1,0,0,3,8,1290,290,1939,0,1570,4500,1714,1
7e+05,3,1.5,5000,1,0,0,3,8,1290,290,1939,0,1570,4500,1563,1
905000,4,2.5,10250,1,0,0,3,7,2390,910,1946,1991,1950,6045,1669,1
247500,3,1.75,15681,1,0,0,3,7,1960,0,1967,0,1750,15616,1466,3
199000,4,1.5,6400,1,0,0,4,7,1160,0,1975,0,1160,6400,1665,3
314000,3,1.75,41800,1,0,0,5,7,1210,600,1980,0,1650,135036,1728,4
437500,3,2.5,36847,2,0,2,3,9,2320,0,1992,0,2550,35065,1784,7
850830,3,2.5,13241,1.5,0,0,5,9,1270,800,1910,0,2200,4500,1758,1
555000,3,2,3478,1.5,0,0,4,7,1440,540,1929,0,1610,3478,1620,1
699950,3,2.25,107593,2,0,0,4,8,2190,0,1983,0,2570,47777,1574,2
1088000,3,2.5,8113,2,0,0,3,8,2920,0,1950,2010,2370,8113,1640,2
290000,3,1,33919,1,0,0,3,7,1210,0,1954,0,1640,14910,1653,4
375000,3,2.5,10005,1,0,0,4,8,1460,880,1978,0,2250,8162,1463,4
460000,3,1,4005,1.5,0,0,4,7,1170,500,1939,0,1240,4005,1777,1
188500,2,1.75,2493,1,0,0,4,8,1240,0,1985,0,1270,4966,1716,3
680000,4,2.5,28037,2,0,0,4,10,3140,0,1991,0,2990,35001,1491,2
470000,5,1.75,12342,2,0,0,4,7,2030,0,1942,0,2500,9433,1681,2
597750,4,2.5,9624,2,0,0,3,8,2310,0,1984,0,1940,9636,1714,2
570000,3,1.75,3328,1,0,0,5,6,700,560,1905,0,1380,3536,1492,1
272500,3,1.75,12600,1,0,0,4,7,1160,380,1980,0,1540,11656,1661,4
329950,3,1.75,5969,1,0,2,3,7,1080,1000,1971,0,2090,5500,1592,1
480000,4,2.5,16171,2,0,3,3,9,2520,710,2001,0,2640,8517,1619,3
740500,3,3.5,6350,2,0,0,3,8,2780,1600,1900,1999,1830,6350,1595,1
518500,3,3.5,1102,3,0,0,3,8,1590,0,2010,0,1620,3166,1743,1
205425,2,1,6780,1,0,0,4,6,880,0,1945,0,1190,6780,1746,1
171800,4,2,9600,1,0,0,3,6,1570,0,1950,0,1880,9000,1547,1
535000,4,1,2982,1.5,0,0,4,7,1610,0,1925,0,1610,4040,1424,1
660000,3,2.5,6474,1,0,2,3,8,1560,840,1964,0,2340,10856,1553,1
391500,3,2,9132,1,0,0,3,7,1450,0,1987,0,1580,9104,1597,2
395000,2,1,6000,1,0,0,3,6,770,0,1953,0,1710,6000,1459,1
445000,4,1.75,4400,1.5,0,0,5,7,1720,380,1924,0,1850,4400,1612,1
770000,3,2.25,10204,2,0,0,3,9,2910,0,1990,0,2700,13992,1751,2
1450000,4,2.75,17789,1.5,0,0,3,8,1980,770,1914,1992,3060,11275,1494,2
445000,3,2.25,8201,1,0,2,3,8,1620,480,1967,0,2660,8712,1722,1
260000,4,2.25,8811,1,0,0,3,8,1360,800,1978,0,2090,8400,1722,3
822500,5,3.5,4960,2,0,0,5,7,1720,600,1926,0,1700,4960,1756,1
430000,4,2.5,4310,2,0,0,3,7,2070,0,2004,0,1970,3748,1459,7
212000,3,1.75,7875,1,0,0,4,7,1060,0,1986,0,1420,7680,1550,4
660500,4,2.25,9603,1,0,0,3,8,1440,570,1986,0,2060,9793,1437,2
784000,3,3.5,111078,1.5,0,0,3,9,2460,1490,1989,0,2480,88500,1757,2
453246,3,2.5,2287,2,0,0,3,8,1390,620,2014,0,1690,1662,1788,2
675000,4,3.5,2278,3,0,0,3,9,2140,0,2005,0,1540,2285,1529,1
199000,3,1.75,17390,1,0,0,4,7,1320,0,1956,0,1550,19265,1695,3
220000,4,1.75,7840,1,0,0,3,7,1010,1010,1968,0,1750,8140,1703,3
452000,4,2.25,10002,1,0,0,4,8,1340,1250,1968,0,1550,10436,1771,1
382500,2,1,4440,1,0,0,3,6,1190,0,1981,0,1060,5715,1732,1
519950,3,2.25,1249,3,0,0,3,8,1170,0,2014,0,1350,1310,1793,1
665000,2,1,3200,1,0,0,3,7,1110,0,1925,0,1170,3600,1742,1
527700,5,2.5,9375,1,0,0,4,8,1550,1270,1968,0,2820,9375,1731,2
205000,3,1,8579,1,0,0,4,7,1010,600,1962,0,1610,8579,1427,4
420000,3,1,8097,1,0,0,4,7,940,120,1923,0,1560,7940,1450,1
5e+05,4,2.25,8517,1,0,0,4,8,1380,650,1961,0,2230,8824,1497,2
921500,4,2.5,315374,2,0,0,4,9,3670,0,1994,0,2840,87991,1583,2
890000,4,1,4000,2,0,0,3,8,2370,180,1905,0,2200,4000,1744,1
430000,2,2.5,60984,2,0,0,3,7,2420,0,2007,0,1940,193842,1702,7
258000,5,2,12500,1,0,0,4,8,1130,1130,1960,0,1360,18000,1617,3
511000,3,1,3455,1,0,0,3,7,980,450,1947,0,1450,4599,1612,1
532170,3,2,3090,2,0,0,3,8,1360,0,1990,0,1500,3090,1688,1
560000,3,1,5000,1.5,0,0,3,7,1110,0,1947,0,1420,5000,1456,1
282950,3,1,8200,1,0,0,4,7,1250,0,1954,0,1680,8633,1465,3
2250000,4,3.25,19850,2,0,3,3,12,3540,1640,2006,0,3160,9750,1464,2
350000,1,1,5100,1,0,0,3,7,700,0,1942,0,1010,5100,1784,1
215000,3,1,7669,1,0,0,4,7,1180,0,1967,0,1190,7669,1711,4
650000,5,3.5,25245,2,0,0,3,9,2500,1460,1996,0,2640,13675,1596,2
320000,4,2.75,7500,1,0,0,3,8,1620,1020,1967,0,1980,7875,1701,3
247000,3,2,7198,1.5,0,0,3,7,1270,0,1916,2013,1160,7198,1603,8
320000,4,1.75,11180,1,0,0,4,8,1760,0,1968,0,1730,11180,1644,4
255000,5,2.25,8632,1,0,0,3,7,1030,1030,1962,0,1010,11680,1793,1
438000,3,1.75,9660,1,0,0,3,7,1780,0,1962,0,1200,9660,1487,2
9e+05,3,2.5,16603,2,0,0,3,10,3400,0,2000,0,3400,12601,1492,2
441000,3,2.75,7280,1,0,0,3,7,1160,750,1979,0,1710,8152,1749,2
420000,3,2,38332,1,0,0,4,7,1010,1010,1975,0,2110,36590,1696,4
370000,3,1.75,7000,1,0,0,3,7,1180,400,1976,0,1640,7500,1578,2
269950,2,1.75,7250,1,0,0,5,5,700,640,1949,0,1830,9750,1505,1
807100,4,2.5,4499,2,0,0,3,9,2680,0,1999,0,2920,4500,1472,2
653000,3,2.5,9750,1,0,0,4,8,1610,1070,1979,0,2480,8750,1764,2
371500,3,2,8336,1,0,0,5,7,1370,0,1964,0,1770,7288,1758,1
284000,3,1.75,21000,1,0,0,3,7,1560,0,1954,0,1070,7920,1480,1
272000,3,1.75,7140,1,0,0,4,7,1670,490,1978,0,1930,7350,1553,3
313000,3,1.5,7912,1.5,0,0,3,7,1340,0,1955,0,1480,7940,1798,1
917500,4,2.5,35003,2,0,0,3,10,2570,1310,1984,0,3740,35230,1539,2
673000,4,2.25,8190,2,0,0,4,8,2590,0,1980,0,2260,8335,1648,2
425000,3,2.5,1100,2,0,0,3,8,820,300,2008,0,1590,1795,1514,1
399950,5,2.75,5400,1,0,0,3,7,1320,650,1986,0,1280,2150,1730,1
385000,3,1,4800,1,0,0,3,6,1220,0,1901,0,1200,4800,1770,1
269950,3,1.5,7560,1,0,2,4,7,1320,630,1975,0,1950,8941,1599,8
330000,2,1,8220,1,0,0,3,7,1060,290,1949,0,1540,8280,1548,1
260000,3,2.5,5797,2,0,0,3,7,1670,0,1988,0,1670,6183,1714,4
470000,4,3,5125,1.5,0,0,4,7,1680,700,1925,0,1410,5375,1451,1
589000,4,3,9600,2,0,0,5,7,2440,0,1961,0,2290,9600,1756,2
163500,2,1.5,3419,2,0,0,3,7,1050,0,1996,0,1050,3417,1716,4
835000,4,2.75,13412,2,0,0,3,9,2140,990,1993,0,2260,9984,1672,2
1095000,5,3,12850,1,0,2,4,10,2090,2000,1986,0,2540,10270,1595,2
269000,4,1.75,10000,1,0,0,4,8,1100,390,1969,0,2190,8910,1450,3
560000,3,2.5,8744,2,0,0,3,8,1900,0,1987,0,2030,8744,1795,2
615000,4,1,2400,1.5,0,0,4,6,1330,0,1901,0,1330,4400,1447,1
585188,3,2.25,10026,1,0,0,3,8,1430,800,1975,0,2230,9340,1581,2
305000,3,1.75,9480,1,0,0,3,7,1220,430,1977,0,1540,8400,1690,2
166950,3,1,8820,1,0,0,3,6,1190,0,1959,0,1230,7980,1611,4
799000,3,2.5,9897,1,0,0,4,8,2140,0,1959,0,2680,10083,1665,1
4e+05,3,2.5,7508,1,0,0,4,7,1420,760,1962,0,1900,7818,1744,1
230000,3,1,10228,1,0,0,3,7,1060,0,1948,0,1570,10228,1585,1
256883,3,2.5,5025,2,0,0,3,8,1690,0,2003,0,2550,5001,1785,3
423000,4,2,6480,1.5,0,0,5,7,1130,840,1920,0,1500,6480,1605,1
465000,3,2.5,4084,2,0,0,3,8,2150,0,2007,0,1750,2385,1716,1
440000,3,2.5,66211,2,0,0,3,7,1910,0,1997,0,2330,67268,1542,7
385000,3,1.75,155073,1,0,0,4,7,1350,0,1969,0,1560,50965,1633,4
210000,3,1,11725,1,0,0,4,6,860,0,1943,0,1300,9514,1485,4
297000,3,2.5,14952,2,0,0,3,8,1940,0,1994,0,2030,10450,1604,4
470000,3,1,5000,1,0,0,3,7,1010,0,1952,0,1680,5000,1723,1
226500,3,1.5,7370,1,0,0,4,7,900,400,1976,0,1430,7500,1704,3
274250,3,1,8450,1,0,0,4,6,910,0,1962,0,1400,8040,1493,4
840000,4,1.75,11010,1,0,0,4,9,1630,850,1966,0,2770,10744,1704,1
677900,3,2.5,4587,2,0,0,3,8,2440,0,2010,0,2750,4587,1658,2
425000,3,1,5864,1,0,0,3,7,1010,0,1915,0,1290,5000,1519,1
180250,2,0.75,9600,1,0,0,3,6,900,0,1941,0,1250,14280,1593,1
464000,6,3,3404,2,0,0,3,7,1600,700,1920,1994,1560,1312,1722,1
320000,4,2.25,7579,2,0,0,3,8,1550,0,1993,0,1630,6397,1443,4
625504,3,2.25,1566,2,0,0,3,8,1060,210,2014,0,1160,1327,1722,1
592500,4,2.5,12032,1,0,0,3,9,2240,0,1983,0,2520,12368,1785,2
465000,3,2.5,17936,2,0,0,3,9,2714,0,2005,0,2590,18386,1541,3
477000,4,2.75,6270,2,0,0,3,8,1720,0,1978,0,2130,8700,1773,1
280000,2,1,16400,1,0,0,3,6,850,0,1923,0,1100,14459,1540,1
1505000,5,3,33474,1,0,3,3,9,1870,1430,1957,1991,3836,20953,1503,1
445838,3,2.5,5692,2,0,0,3,8,2250,0,2000,0,1320,5390,1736,1
1072000,2,2.25,14864,1,0,3,3,8,1950,1950,1947,0,2580,5184,1680,1
467000,2,1.5,10800,1,0,0,4,8,1320,0,1947,0,2120,12040,1624,1
686000,4,2.5,6440,2,0,0,3,10,2760,0,1999,0,3070,8127,1686,2
279950,3,2,9750,1,0,0,3,7,1350,400,1961,0,1900,10125,1764,3
527000,4,2.25,19436,2,0,0,3,8,2330,0,1987,0,1910,10055,1673,2
325000,3,2.25,16020,1,0,0,4,8,1780,440,1966,0,2080,9583,1659,4
328000,3,2.25,8379,2,0,0,3,7,2020,0,1994,0,2020,8031,1674,4
390000,3,2.25,7500,1,0,0,5,7,1250,0,1942,0,1280,7392,1765,1
479950,2,2,6516,1,0,0,3,8,1510,0,2005,0,1640,6009,1487,2
264950,4,2.25,9753,1,0,0,4,7,1120,600,1978,0,1510,9753,1771,3
235000,3,1,15246,1,0,0,4,7,980,450,1961,0,1960,13068,1540,4
516500,3,2.5,4729,2,0,0,3,7,1480,0,2004,0,2250,4729,1493,2
655000,2,1.75,15798,2,1,4,3,7,1230,220,1915,1978,2030,13193,1452,1
5e+05,4,2.75,15347,1,0,0,5,7,2280,0,1960,0,2280,15347,1753,2
315000,6,2.75,7350,1,0,0,3,8,1780,1160,1978,0,2120,8236,1595,3
213000,2,1,10200,1,0,0,3,6,1000,0,1961,0,1150,13702,1596,7
475000,3,1.5,5280,1.5,0,0,5,7,1620,860,1947,0,2090,4800,1675,1
1025000,5,4,28040,2,0,0,3,10,3760,0,1983,0,3430,35096,1759,2
416000,3,2,94300,1,0,0,5,7,1640,580,1976,0,2070,80100,1456,4
410000,4,1,4740,1.5,0,0,3,7,1670,300,1904,2005,1510,4740,1476,1
8e+05,3,3.5,221284,2,0,0,3,10,3530,300,1993,0,2920,148539,1738,2
472000,6,2.5,14034,1,0,2,4,9,2350,2060,1965,0,2600,13988,1771,3
225000,3,1.75,8505,1,0,0,4,7,1430,0,1968,0,1190,8640,1578,3
210000,2,1,6000,1,0,0,3,6,830,0,1940,0,830,4960,1646,1
455000,2,1,5000,1.5,0,0,2,7,1430,0,1925,0,1450,3750,1528,1
225000,3,1,8316,1,0,0,4,6,1300,0,1954,0,1260,8316,1438,4
480000,2,1,3060,1,0,2,4,7,790,240,1918,0,1390,3060,1682,1
363000,3,2.5,11872,2,0,0,3,9,2740,0,1990,0,2570,10377,1512,3
2400000,4,2.5,8354,1,1,4,3,9,1830,1820,2000,0,3120,18841,1648,2
181000,2,1.5,5120,1,0,0,3,6,720,0,1954,0,1150,2566,1498,1
250000,4,2,7312,1,0,0,4,7,2010,0,1976,0,2010,7650,1482,3
481000,3,1.75,3000,1,0,0,4,6,770,790,1918,0,1390,3000,1443,1
260000,3,2,7209,1,0,0,4,7,1240,570,1978,0,1750,7209,1654,3
455000,4,2.5,7685,2,0,0,3,9,3360,0,2001,0,3060,6567,1787,4
415000,3,2.25,36224,2,0,0,3,8,1510,0,1991,0,1730,36224,1464,7
349500,3,1,3538,1,0,0,3,7,800,600,1953,0,1620,6331,1444,1
245000,3,2.5,7442,2,0,0,3,7,1730,0,1987,0,1630,6458,1648,4
592500,2,2,9191,1.5,0,2,5,7,1420,0,1928,0,1420,6816,1781,1
385000,4,1.75,7620,1,0,0,4,7,1180,1180,1955,0,1910,7620,1627,1
315000,3,1.75,11455,1,0,0,4,7,1200,380,1974,0,1550,10650,1513,4
255000,3,1,10170,1,0,0,3,7,1230,0,1979,0,1380,10098,1592,7
693000,4,2.5,4425,2,0,0,3,8,2460,0,2006,0,2990,5659,1679,2
780000,3,1,4400,1.5,0,0,3,8,1460,200,1911,0,1660,4400,1584,1
237000,3,1.75,8470,1,0,0,4,7,1270,0,1960,0,1600,8470,1623,1
525000,3,2.25,40510,2,0,0,3,10,1320,780,1979,0,2380,33450,1570,2
425000,2,1,5040,1,0,0,3,5,770,0,1930,0,1330,2580,1437,1
369900,1,0.75,10079,1,1,4,5,5,760,0,1936,0,1230,14267,1620,6
290000,4,2.5,7280,2,0,0,4,7,1700,0,1988,0,1950,7475,1781,4
285000,3,1,10701,1,0,0,3,7,1120,0,1954,0,1130,6350,1648,1
415000,2,1,4500,1,0,0,3,7,1070,0,1937,0,1320,4465,1694,1
272500,3,2.5,9900,1,0,0,3,8,1420,650,1979,0,2070,8250,1456,3
2900000,4,3.25,20100,1.5,0,2,3,11,4750,300,1982,2008,3890,20060,1431,2
1365000,4,4.75,57346,2,0,0,4,11,5310,0,1989,0,4180,47443,1640,2
436000,2,1,7538,1,0,0,4,7,1040,0,1939,0,1440,7530,1434,1
210000,3,1,11390,1,0,0,4,7,1700,0,1967,0,1350,8164,1630,3
236000,3,1,5898,1,0,0,3,7,1300,0,1961,0,1320,7619,1652,1
331000,3,1.75,1306,1,0,0,3,7,580,500,1954,2003,1440,2225,1592,1
365000,3,2.5,4510,2,0,0,3,8,2653,0,2006,0,2653,4927,1476,4
450000,3,2,16258,1,0,0,5,8,2290,0,1960,0,1660,10530,1528,4
770000,4,2.75,26300,2,0,0,3,9,2850,970,2014,0,1860,12136,1603,1
455000,4,2.5,49375,1,0,0,3,8,2210,0,1997,0,2670,49385,1430,4
405000,3,1.75,6000,1,0,0,3,6,1240,1150,1908,0,2020,6000,1430,1
304900,4,1.75,11325,1,0,0,4,7,1610,990,1969,0,1720,11088,1736,4
170000,2,1,5265,1,0,0,3,6,860,0,1931,0,1650,8775,1497,1
2050000,5,3,8480,2,0,1,5,9,2630,1200,1905,1994,3050,7556,1422,1
780000,4,2.5,7048,2,0,0,3,9,3500,0,2005,0,3920,7864,1739,2
330000,3,3,13959,1,0,0,4,8,1740,680,1988,0,2570,13300,1455,2
370000,4,2.5,8666,2,0,0,3,9,2720,0,1992,0,2410,8100,1672,4
467000,5,2.25,13500,1,0,0,3,7,1850,650,1979,0,2300,9750,1630,2
405000,3,1.75,6720,1,0,0,3,7,1140,530,1980,0,1670,7320,1515,2
675000,5,2.25,10300,1,0,0,3,8,1450,1450,1985,0,2310,10300,1737,2
5e+05,2,1,14100,1,0,0,4,7,1140,500,1954,0,1520,13527,1696,2
389999,4,2.5,15770,2,0,0,4,7,1890,0,1968,0,2410,15256,1716,1
630000,4,1.75,9025,1,0,2,4,8,1780,1170,1975,0,2120,9600,1500,2
360000,4,2.5,9528,2,0,0,3,9,2160,0,1992,0,2280,9937,1625,3
580000,4,3,11060,2,0,0,3,8,2270,1010,1986,0,2320,11004,1645,2
550000,3,2,4166,2,0,3,5,8,1270,700,1929,0,2390,4166,1730,1
879000,4,2.5,22111,2,0,0,3,10,3360,0,1994,0,3150,11374,1729,2
265000,3,2,8959,1,0,0,3,7,1320,0,1993,0,1740,7316,1686,4
446500,3,2.5,7286,2,0,0,3,8,2650,0,1990,0,2400,7220,1492,4
404000,3,1.5,8880,1,0,0,3,7,1330,700,1963,0,2140,5592,1767,1
267500,3,1.75,11914,1,0,2,3,7,1090,500,1957,0,1630,9052,1771,1
3075000,4,5,18641,1,1,4,3,10,2600,1950,2002,0,4550,19508,1745,2
335000,3,2.5,7632,2,0,0,3,8,2440,0,1998,0,2510,7903,1697,3
576000,3,2.5,9000,1,0,0,4,7,970,970,1948,0,2190,7310,1750,1
208633,3,2.5,3810,2,0,0,3,8,2040,0,2006,0,2370,4590,1464,4
315000,3,2.25,8750,1,0,0,4,7,1120,1080,1964,0,1460,10139,1540,1
725000,3,1.75,3300,1,0,0,4,8,960,960,1913,0,1740,4000,1507,1
550000,4,2.75,7750,1,0,0,4,8,1400,400,1965,0,1800,8275,1462,1
610750,4,2.25,7297,2,0,0,3,8,2180,0,1984,0,2250,9781,1757,2
550700,2,1,5000,1.5,0,0,4,6,1010,0,1908,0,1460,5000,1496,1
665000,4,2.75,10574,2,0,0,5,8,2220,1100,1960,0,2720,8330,1547,2
834000,4,2.5,4000,1.5,0,2,5,8,1980,390,1928,0,2440,5750,1515,1
201000,5,1.75,78408,1.5,0,0,3,6,1660,0,1915,0,1660,78408,1624,7
2384000,5,2.5,9050,2,0,4,5,10,3370,280,1921,0,2880,5400,1798,1
1384000,4,3.25,12103,1,0,3,3,11,2690,1600,1997,0,3860,11244,1751,2
1400000,4,3.25,12103,1,0,3,3,11,2690,1600,1997,0,3860,11244,1577,2
305000,4,2.25,7700,1,0,0,3,8,1350,600,1979,0,2150,7350,1611,4
487000,3,2,14052,1,0,0,5,8,1720,870,1948,0,1570,8162,1457,1
390000,3,2.5,64904,1,0,0,4,8,1930,0,1988,0,2350,57500,1424,4
548000,2,1,3864,1,0,0,4,7,1170,300,1916,0,1570,3864,1716,1
268750,4,1,8775,1,0,0,3,6,800,0,1943,0,1310,8775,1594,1
819900,5,2.75,7119,2,0,0,3,9,3150,0,2013,0,1560,8384,1787,2
520000,3,2.25,16200,2,0,0,3,8,2030,0,1984,0,2660,17958,1624,2
230000,3,2,11204,1,0,0,3,7,1450,0,2003,0,1520,9518,1718,3
