price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,when_sold,district,is_basement,is_renovated
775000,4,2.25,1,0,0,3,8,2600,1620,1984,0,2410,1697,1,1,0
861990,5,2.75,2,0,0,3,9,3595,0,2014,0,3625,1732,2,0,0
685000,3,1,2,0,0,3,7,1570,0,1922,0,1580,1619,1,0,0
309000,3,1,1,0,0,4,6,920,360,1959,0,1340,1710,4,1,0
488000,3,2.5,2,0,0,3,8,3160,0,2003,0,3050,1721,5,0,0
210490,3,1,1,0,0,3,6,990,0,1966,0,1228,1471,3,0,0
785000,4,2.5,2,0,0,4,9,2290,0,1981,0,2680,1723,2,0,0
450000,3,1.75,1,0,0,4,7,1250,0,1953,0,970,1437,1,0,0
1350000,3,2.5,1,1,2,5,9,2165,588,1953,0,2680,1485,6,1,0
228000,3,1,1,0,0,3,7,1190,0,1955,0,1190,1661,1,0,0
345000,5,2.5,1,0,0,4,8,1640,1510,1966,0,1990,1507,4,1,0
6e+05,3,1.75,1,0,0,4,7,1000,410,1950,0,1410,1555,1,1,0
585000,2,1.75,1,0,0,3,7,990,990,1981,0,1480,1519,1,1,0
920000,5,2.25,1.5,0,0,3,8,2130,600,1927,0,2730,1493,1,1,0
885000,4,2.5,2,0,0,3,9,2830,0,1995,0,1950,1788,1,0,0
292500,4,2.5,2,0,0,3,7,2250,0,2008,0,2250,1689,4,0,0
301000,3,2.5,2,0,0,3,8,2420,0,2003,0,2690,1458,4,0,0
951000,5,3.25,2,0,4,4,8,3250,0,1968,0,2960,1681,2,0,0
430000,4,3,2,0,0,3,8,1850,0,1991,0,2270,1501,4,0,0
650000,3,2.25,1,0,3,4,8,1590,560,1959,0,2570,1576,1,1,0
289000,3,1.75,1,0,0,3,7,1260,0,1954,0,1290,1680,1,0,0
505000,3,1.75,2,0,0,5,8,2519,0,1973,0,2500,1626,1,0,0
549000,3,1.75,3,0,0,3,8,1540,0,2014,0,1580,1579,1,0,0
425000,3,2.25,1,0,0,3,7,1110,550,1979,0,1440,1766,1,1,0
317625,3,2.75,1.5,0,0,5,7,1770,1000,1925,0,1440,1596,1,1,0
975000,4,2.5,2,0,0,3,10,2720,0,1989,0,2750,1668,2,0,0
287000,4,2.5,2,0,0,3,7,2240,0,2005,0,2221,1638,3,0,0
204000,3,1,1,0,0,4,7,1000,0,1968,0,1010,1683,4,0,0
1325000,5,2.25,1,0,0,3,8,1600,1600,1965,0,3390,1757,2,1,0
1040000,5,3.25,1,0,0,4,11,3070,1700,1973,0,3530,1665,2,1,0
325000,3,2,1,0,0,4,7,1260,0,1972,0,1640,1550,2,0,0
571000,4,2,1.5,0,0,5,7,2250,500,1916,0,1510,1759,1,1,0
360000,4,2.5,2,0,0,3,8,2380,0,2005,0,2420,1729,4,0,0
349000,3,1.75,1,0,0,5,7,1090,700,1965,0,1940,1480,4,1,0
832500,4,4,2,0,0,4,10,2390,1040,1986,0,3240,1611,2,1,0
380000,4,1.75,1,0,0,3,7,880,880,1956,0,1680,1634,2,1,0
480000,3,1,1,0,0,3,7,1040,0,1941,0,890,1445,1,0,0
410000,3,1,1,0,0,4,7,910,500,1956,0,1130,1760,1,1,0
720000,4,2.5,2,0,0,3,10,3450,0,2002,0,3350,1473,4,0,0
390000,3,2.5,2,0,0,3,8,2350,0,2003,0,2350,1584,4,0,0
360000,4,2.5,2,0,0,3,7,1900,0,1992,0,1870,1564,4,0,0
355000,2,1,1,0,0,3,7,1010,1010,1948,0,1720,1619,1,1,0
356000,3,1.5,1,0,0,3,8,1680,0,1964,0,1850,1527,4,0,0
315000,3,1,1,0,0,3,6,960,0,1952,0,1570,1767,1,0,0
940000,3,1.5,2,0,0,3,9,1900,240,1925,0,2020,1602,1,1,0
305000,5,2.25,1.5,0,0,5,7,2660,0,1961,0,1590,1613,3,0,0
461000,3,3.25,2,0,0,3,9,1980,790,2006,0,1900,1751,4,1,0
215000,2,2.25,2,0,0,4,7,1610,0,1979,0,1950,1781,4,0,0
335000,2,1.75,2,0,0,3,7,765,265,2006,0,1030,1673,1,1,0
243500,4,2.5,2,0,0,3,7,1980,0,1988,0,1980,1778,3,0,0
1099880,5,2.75,2,0,0,4,10,3520,0,2001,0,2520,1485,1,0,0
153000,3,1,1,0,0,3,7,1200,0,1962,0,1350,1498,3,0,0
430000,3,1.5,1,0,0,3,8,1290,290,1939,0,1570,1714,1,1,0
7e+05,3,1.5,1,0,0,3,8,1290,290,1939,0,1570,1563,1,1,0
905000,4,2.5,1,0,0,3,7,2390,910,1946,1991,1950,1669,1,1,1
247500,3,1.75,1,0,0,3,7,1960,0,1967,0,1750,1466,3,0,0
199000,4,1.5,1,0,0,4,7,1160,0,1975,0,1160,1665,3,0,0
314000,3,1.75,1,0,0,5,7,1210,600,1980,0,1650,1728,4,1,0
437500,3,2.5,2,0,2,3,9,2320,0,1992,0,2550,1784,7,0,0
850830,3,2.5,1.5,0,0,5,9,1270,800,1910,0,2200,1758,1,1,0
555000,3,2,1.5,0,0,4,7,1440,540,1929,0,1610,1620,1,1,0
699950,3,2.25,2,0,0,4,8,2190,0,1983,0,2570,1574,2,0,0
1088000,3,2.5,2,0,0,3,8,2920,0,1950,2010,2370,1640,2,0,1
290000,3,1,1,0,0,3,7,1210,0,1954,0,1640,1653,4,0,0
375000,3,2.5,1,0,0,4,8,1460,880,1978,0,2250,1463,4,1,0
460000,3,1,1.5,0,0,4,7,1170,500,1939,0,1240,1777,1,1,0
188500,2,1.75,1,0,0,4,8,1240,0,1985,0,1270,1716,3,0,0
680000,4,2.5,2,0,0,4,10,3140,0,1991,0,2990,1491,2,0,0
470000,5,1.75,2,0,0,4,7,2030,0,1942,0,2500,1681,2,0,0
597750,4,2.5,2,0,0,3,8,2310,0,1984,0,1940,1714,2,0,0
570000,3,1.75,1,0,0,5,6,700,560,1905,0,1380,1492,1,1,0
272500,3,1.75,1,0,0,4,7,1160,380,1980,0,1540,1661,4,1,0
329950,3,1.75,1,0,2,3,7,1080,1000,1971,0,2090,1592,1,1,0
480000,4,2.5,2,0,3,3,9,2520,710,2001,0,2640,1619,3,1,0
740500,3,3.5,2,0,0,3,8,2780,1600,1900,1999,1830,1595,1,1,1
518500,3,3.5,3,0,0,3,8,1590,0,2010,0,1620,1743,1,0,0
205425,2,1,1,0,0,4,6,880,0,1945,0,1190,1746,1,0,0
171800,4,2,1,0,0,3,6,1570,0,1950,0,1880,1547,1,0,0
535000,4,1,1.5,0,0,4,7,1610,0,1925,0,1610,1424,1,0,0
660000,3,2.5,1,0,2,3,8,1560,840,1964,0,2340,1553,1,1,0
391500,3,2,1,0,0,3,7,1450,0,1987,0,1580,1597,2,0,0
395000,2,1,1,0,0,3,6,770,0,1953,0,1710,1459,1,0,0
445000,4,1.75,1.5,0,0,5,7,1720,380,1924,0,1850,1612,1,1,0
770000,3,2.25,2,0,0,3,9,2910,0,1990,0,2700,1751,2,0,0
1450000,4,2.75,1.5,0,0,3,8,1980,770,1914,1992,3060,1494,2,1,1
445000,3,2.25,1,0,2,3,8,1620,480,1967,0,2660,1722,1,1,0
260000,4,2.25,1,0,0,3,8,1360,800,1978,0,2090,1722,3,1,0
822500,5,3.5,2,0,0,5,7,1720,600,1926,0,1700,1756,1,1,0
430000,4,2.5,2,0,0,3,7,2070,0,2004,0,1970,1459,7,0,0
212000,3,1.75,1,0,0,4,7,1060,0,1986,0,1420,1550,4,0,0
660500,4,2.25,1,0,0,3,8,1440,570,1986,0,2060,1437,2,1,0
784000,3,3.5,1.5,0,0,3,9,2460,1490,1989,0,2480,1757,2,1,0
453246,3,2.5,2,0,0,3,8,1390,620,2014,0,1690,1788,2,1,0
675000,4,3.5,3,0,0,3,9,2140,0,2005,0,1540,1529,1,0,0
199000,3,1.75,1,0,0,4,7,1320,0,1956,0,1550,1695,3,0,0
220000,4,1.75,1,0,0,3,7,1010,1010,1968,0,1750,1703,3,1,0
452000,4,2.25,1,0,0,4,8,1340,1250,1968,0,1550,1771,1,1,0
382500,2,1,1,0,0,3,6,1190,0,1981,0,1060,1732,1,0,0
519950,3,2.25,3,0,0,3,8,1170,0,2014,0,1350,1793,1,0,0
665000,2,1,1,0,0,3,7,1110,0,1925,0,1170,1742,1,0,0
527700,5,2.5,1,0,0,4,8,1550,1270,1968,0,2820,1731,2,1,0
205000,3,1,1,0,0,4,7,1010,600,1962,0,1610,1427,4,1,0
420000,3,1,1,0,0,4,7,940,120,1923,0,1560,1450,1,1,0
5e+05,4,2.25,1,0,0,4,8,1380,650,1961,0,2230,1497,2,1,0
921500,4,2.5,2,0,0,4,9,3670,0,1994,0,2840,1583,2,0,0
890000,4,1,2,0,0,3,8,2370,180,1905,0,2200,1744,1,1,0
430000,2,2.5,2,0,0,3,7,2420,0,2007,0,1940,1702,7,0,0
258000,5,2,1,0,0,4,8,1130,1130,1960,0,1360,1617,3,1,0
511000,3,1,1,0,0,3,7,980,450,1947,0,1450,1612,1,1,0
532170,3,2,2,0,0,3,8,1360,0,1990,0,1500,1688,1,0,0
560000,3,1,1.5,0,0,3,7,1110,0,1947,0,1420,1456,1,0,0
282950,3,1,1,0,0,4,7,1250,0,1954,0,1680,1465,3,0,0
2250000,4,3.25,2,0,3,3,12,3540,1640,2006,0,3160,1464,2,1,0
350000,1,1,1,0,0,3,7,700,0,1942,0,1010,1784,1,0,0
215000,3,1,1,0,0,4,7,1180,0,1967,0,1190,1711,4,0,0
650000,5,3.5,2,0,0,3,9,2500,1460,1996,0,2640,1596,2,1,0
320000,4,2.75,1,0,0,3,8,1620,1020,1967,0,1980,1701,3,1,0
247000,3,2,1.5,0,0,3,7,1270,0,1916,2013,1160,1603,8,0,1
320000,4,1.75,1,0,0,4,8,1760,0,1968,0,1730,1644,4,0,0
255000,5,2.25,1,0,0,3,7,1030,1030,1962,0,1010,1793,1,1,0
438000,3,1.75,1,0,0,3,7,1780,0,1962,0,1200,1487,2,0,0
9e+05,3,2.5,2,0,0,3,10,3400,0,2000,0,3400,1492,2,0,0
441000,3,2.75,1,0,0,3,7,1160,750,1979,0,1710,1749,2,1,0
420000,3,2,1,0,0,4,7,1010,1010,1975,0,2110,1696,4,1,0
370000,3,1.75,1,0,0,3,7,1180,400,1976,0,1640,1578,2,1,0
269950,2,1.75,1,0,0,5,5,700,640,1949,0,1830,1505,1,1,0
807100,4,2.5,2,0,0,3,9,2680,0,1999,0,2920,1472,2,0,0
653000,3,2.5,1,0,0,4,8,1610,1070,1979,0,2480,1764,2,1,0
371500,3,2,1,0,0,5,7,1370,0,1964,0,1770,1758,1,0,0
284000,3,1.75,1,0,0,3,7,1560,0,1954,0,1070,1480,1,0,0
272000,3,1.75,1,0,0,4,7,1670,490,1978,0,1930,1553,3,1,0
313000,3,1.5,1.5,0,0,3,7,1340,0,1955,0,1480,1798,1,0,0
917500,4,2.5,2,0,0,3,10,2570,1310,1984,0,3740,1539,2,1,0
673000,4,2.25,2,0,0,4,8,2590,0,1980,0,2260,1648,2,0,0
425000,3,2.5,2,0,0,3,8,820,300,2008,0,1590,1514,1,1,0
399950,5,2.75,1,0,0,3,7,1320,650,1986,0,1280,1730,1,1,0
385000,3,1,1,0,0,3,6,1220,0,1901,0,1200,1770,1,0,0
269950,3,1.5,1,0,2,4,7,1320,630,1975,0,1950,1599,8,1,0
330000,2,1,1,0,0,3,7,1060,290,1949,0,1540,1548,1,1,0
260000,3,2.5,2,0,0,3,7,1670,0,1988,0,1670,1714,4,0,0
470000,4,3,1.5,0,0,4,7,1680,700,1925,0,1410,1451,1,1,0
589000,4,3,2,0,0,5,7,2440,0,1961,0,2290,1756,2,0,0
163500,2,1.5,2,0,0,3,7,1050,0,1996,0,1050,1716,4,0,0
835000,4,2.75,2,0,0,3,9,2140,990,1993,0,2260,1672,2,1,0
1095000,5,3,1,0,2,4,10,2090,2000,1986,0,2540,1595,2,1,0
269000,4,1.75,1,0,0,4,8,1100,390,1969,0,2190,1450,3,1,0
560000,3,2.5,2,0,0,3,8,1900,0,1987,0,2030,1795,2,0,0
615000,4,1,1.5,0,0,4,6,1330,0,1901,0,1330,1447,1,0,0
585188,3,2.25,1,0,0,3,8,1430,800,1975,0,2230,1581,2,1,0
305000,3,1.75,1,0,0,3,7,1220,430,1977,0,1540,1690,2,1,0
166950,3,1,1,0,0,3,6,1190,0,1959,0,1230,1611,4,0,0
799000,3,2.5,1,0,0,4,8,2140,0,1959,0,2680,1665,1,0,0
4e+05,3,2.5,1,0,0,4,7,1420,760,1962,0,1900,1744,1,1,0
230000,3,1,1,0,0,3,7,1060,0,1948,0,1570,1585,1,0,0
256883,3,2.5,2,0,0,3,8,1690,0,2003,0,2550,1785,3,0,0
423000,4,2,1.5,0,0,5,7,1130,840,1920,0,1500,1605,1,1,0
465000,3,2.5,2,0,0,3,8,2150,0,2007,0,1750,1716,1,0,0
440000,3,2.5,2,0,0,3,7,1910,0,1997,0,2330,1542,7,0,0
385000,3,1.75,1,0,0,4,7,1350,0,1969,0,1560,1633,4,0,0
210000,3,1,1,0,0,4,6,860,0,1943,0,1300,1485,4,0,0
297000,3,2.5,2,0,0,3,8,1940,0,1994,0,2030,1604,4,0,0
470000,3,1,1,0,0,3,7,1010,0,1952,0,1680,1723,1,0,0
226500,3,1.5,1,0,0,4,7,900,400,1976,0,1430,1704,3,1,0
274250,3,1,1,0,0,4,6,910,0,1962,0,1400,1493,4,0,0
840000,4,1.75,1,0,0,4,9,1630,850,1966,0,2770,1704,1,1,0
677900,3,2.5,2,0,0,3,8,2440,0,2010,0,2750,1658,2,0,0
425000,3,1,1,0,0,3,7,1010,0,1915,0,1290,1519,1,0,0
180250,2,0.75,1,0,0,3,6,900,0,1941,0,1250,1593,1,0,0
464000,6,3,2,0,0,3,7,1600,700,1920,1994,1560,1722,1,1,1
320000,4,2.25,2,0,0,3,8,1550,0,1993,0,1630,1443,4,0,0
625504,3,2.25,2,0,0,3,8,1060,210,2014,0,1160,1722,1,1,0
592500,4,2.5,1,0,0,3,9,2240,0,1983,0,2520,1785,2,0,0
465000,3,2.5,2,0,0,3,9,2714,0,2005,0,2590,1541,3,0,0
477000,4,2.75,2,0,0,3,8,1720,0,1978,0,2130,1773,1,0,0
280000,2,1,1,0,0,3,6,850,0,1923,0,1100,1540,1,0,0
1505000,5,3,1,0,3,3,9,1870,1430,1957,1991,3836,1503,1,1,1
445838,3,2.5,2,0,0,3,8,2250,0,2000,0,1320,1736,1,0,0
1072000,2,2.25,1,0,3,3,8,1950,1950,1947,0,2580,1680,1,1,0
467000,2,1.5,1,0,0,4,8,1320,0,1947,0,2120,1624,1,0,0
686000,4,2.5,2,0,0,3,10,2760,0,1999,0,3070,1686,2,0,0
279950,3,2,1,0,0,3,7,1350,400,1961,0,1900,1764,3,1,0
527000,4,2.25,2,0,0,3,8,2330,0,1987,0,1910,1673,2,0,0
325000,3,2.25,1,0,0,4,8,1780,440,1966,0,2080,1659,4,1,0
328000,3,2.25,2,0,0,3,7,2020,0,1994,0,2020,1674,4,0,0
390000,3,2.25,1,0,0,5,7,1250,0,1942,0,1280,1765,1,0,0
479950,2,2,1,0,0,3,8,1510,0,2005,0,1640,1487,2,0,0
264950,4,2.25,1,0,0,4,7,1120,600,1978,0,1510,1771,3,1,0
235000,3,1,1,0,0,4,7,980,450,1961,0,1960,1540,4,1,0
516500,3,2.5,2,0,0,3,7,1480,0,2004,0,2250,1493,2,0,0
655000,2,1.75,2,1,4,3,7,1230,220,1915,1978,2030,1452,1,1,1
5e+05,4,2.75,1,0,0,5,7,2280,0,1960,0,2280,1753,2,0,0
315000,6,2.75,1,0,0,3,8,1780,1160,1978,0,2120,1595,3,1,0
213000,2,1,1,0,0,3,6,1000,0,1961,0,1150,1596,7,0,0
475000,3,1.5,1.5,0,0,5,7,1620,860,1947,0,2090,1675,1,1,0
1025000,5,4,2,0,0,3,10,3760,0,1983,0,3430,1759,2,0,0
416000,3,2,1,0,0,5,7,1640,580,1976,0,2070,1456,4,1,0
410000,4,1,1.5,0,0,3,7,1670,300,1904,2005,1510,1476,1,1,1
8e+05,3,3.5,2,0,0,3,10,3530,300,1993,0,2920,1738,2,1,0
472000,6,2.5,1,0,2,4,9,2350,2060,1965,0,2600,1771,3,1,0
225000,3,1.75,1,0,0,4,7,1430,0,1968,0,1190,1578,3,0,0
210000,2,1,1,0,0,3,6,830,0,1940,0,830,1646,1,0,0
455000,2,1,1.5,0,0,2,7,1430,0,1925,0,1450,1528,1,0,0
225000,3,1,1,0,0,4,6,1300,0,1954,0,1260,1438,4,0,0
480000,2,1,1,0,2,4,7,790,240,1918,0,1390,1682,1,1,0
363000,3,2.5,2,0,0,3,9,2740,0,1990,0,2570,1512,3,0,0
2400000,4,2.5,1,1,4,3,9,1830,1820,2000,0,3120,1648,2,1,0
181000,2,1.5,1,0,0,3,6,720,0,1954,0,1150,1498,1,0,0
250000,4,2,1,0,0,4,7,2010,0,1976,0,2010,1482,3,0,0
481000,3,1.75,1,0,0,4,6,770,790,1918,0,1390,1443,1,1,0
260000,3,2,1,0,0,4,7,1240,570,1978,0,1750,1654,3,1,0
455000,4,2.5,2,0,0,3,9,3360,0,2001,0,3060,1787,4,0,0
415000,3,2.25,2,0,0,3,8,1510,0,1991,0,1730,1464,7,0,0
349500,3,1,1,0,0,3,7,800,600,1953,0,1620,1444,1,1,0
245000,3,2.5,2,0,0,3,7,1730,0,1987,0,1630,1648,4,0,0
592500,2,2,1.5,0,2,5,7,1420,0,1928,0,1420,1781,1,0,0
385000,4,1.75,1,0,0,4,7,1180,1180,1955,0,1910,1627,1,1,0
315000,3,1.75,1,0,0,4,7,1200,380,1974,0,1550,1513,4,1,0
255000,3,1,1,0,0,3,7,1230,0,1979,0,1380,1592,7,0,0
693000,4,2.5,2,0,0,3,8,2460,0,2006,0,2990,1679,2,0,0
780000,3,1,1.5,0,0,3,8,1460,200,1911,0,1660,1584,1,1,0
237000,3,1.75,1,0,0,4,7,1270,0,1960,0,1600,1623,1,0,0
525000,3,2.25,2,0,0,3,10,1320,780,1979,0,2380,1570,2,1,0
425000,2,1,1,0,0,3,5,770,0,1930,0,1330,1437,1,0,0
369900,1,0.75,1,1,4,5,5,760,0,1936,0,1230,1620,6,0,0
290000,4,2.5,2,0,0,4,7,1700,0,1988,0,1950,1781,4,0,0
285000,3,1,1,0,0,3,7,1120,0,1954,0,1130,1648,1,0,0
415000,2,1,1,0,0,3,7,1070,0,1937,0,1320,1694,1,0,0
272500,3,2.5,1,0,0,3,8,1420,650,1979,0,2070,1456,3,1,0
2900000,4,3.25,1.5,0,2,3,11,4750,300,1982,2008,3890,1431,2,1,1
1365000,4,4.75,2,0,0,4,11,5310,0,1989,0,4180,1640,2,0,0
436000,2,1,1,0,0,4,7,1040,0,1939,0,1440,1434,1,0,0
210000,3,1,1,0,0,4,7,1700,0,1967,0,1350,1630,3,0,0
236000,3,1,1,0,0,3,7,1300,0,1961,0,1320,1652,1,0,0
331000,3,1.75,1,0,0,3,7,580,500,1954,2003,1440,1592,1,1,1
365000,3,2.5,2,0,0,3,8,2653,0,2006,0,2653,1476,4,0,0
450000,3,2,1,0,0,5,8,2290,0,1960,0,1660,1528,4,0,0
770000,4,2.75,2,0,0,3,9,2850,970,2014,0,1860,1603,1,1,0
455000,4,2.5,1,0,0,3,8,2210,0,1997,0,2670,1430,4,0,0
405000,3,1.75,1,0,0,3,6,1240,1150,1908,0,2020,1430,1,1,0
304900,4,1.75,1,0,0,4,7,1610,990,1969,0,1720,1736,4,1,0
170000,2,1,1,0,0,3,6,860,0,1931,0,1650,1497,1,0,0
2050000,5,3,2,0,1,5,9,2630,1200,1905,1994,3050,1422,1,1,1
780000,4,2.5,2,0,0,3,9,3500,0,2005,0,3920,1739,2,0,0
330000,3,3,1,0,0,4,8,1740,680,1988,0,2570,1455,2,1,0
370000,4,2.5,2,0,0,3,9,2720,0,1992,0,2410,1672,4,0,0
467000,5,2.25,1,0,0,3,7,1850,650,1979,0,2300,1630,2,1,0
405000,3,1.75,1,0,0,3,7,1140,530,1980,0,1670,1515,2,1,0
675000,5,2.25,1,0,0,3,8,1450,1450,1985,0,2310,1737,2,1,0
5e+05,2,1,1,0,0,4,7,1140,500,1954,0,1520,1696,2,1,0
389999,4,2.5,2,0,0,4,7,1890,0,1968,0,2410,1716,1,0,0
630000,4,1.75,1,0,2,4,8,1780,1170,1975,0,2120,1500,2,1,0
360000,4,2.5,2,0,0,3,9,2160,0,1992,0,2280,1625,3,0,0
580000,4,3,2,0,0,3,8,2270,1010,1986,0,2320,1645,2,1,0
550000,3,2,2,0,3,5,8,1270,700,1929,0,2390,1730,1,1,0
879000,4,2.5,2,0,0,3,10,3360,0,1994,0,3150,1729,2,0,0
265000,3,2,1,0,0,3,7,1320,0,1993,0,1740,1686,4,0,0
446500,3,2.5,2,0,0,3,8,2650,0,1990,0,2400,1492,4,0,0
404000,3,1.5,1,0,0,3,7,1330,700,1963,0,2140,1767,1,1,0
267500,3,1.75,1,0,2,3,7,1090,500,1957,0,1630,1771,1,1,0
3075000,4,5,1,1,4,3,10,2600,1950,2002,0,4550,1745,2,1,0
335000,3,2.5,2,0,0,3,8,2440,0,1998,0,2510,1697,3,0,0
576000,3,2.5,1,0,0,4,7,970,970,1948,0,2190,1750,1,1,0
208633,3,2.5,2,0,0,3,8,2040,0,2006,0,2370,1464,4,0,0
315000,3,2.25,1,0,0,4,7,1120,1080,1964,0,1460,1540,1,1,0
725000,3,1.75,1,0,0,4,8,960,960,1913,0,1740,1507,1,1,0
550000,4,2.75,1,0,0,4,8,1400,400,1965,0,1800,1462,1,1,0
610750,4,2.25,2,0,0,3,8,2180,0,1984,0,2250,1757,2,0,0
550700,2,1,1.5,0,0,4,6,1010,0,1908,0,1460,1496,1,0,0
665000,4,2.75,2,0,0,5,8,2220,1100,1960,0,2720,1547,2,1,0
834000,4,2.5,1.5,0,2,5,8,1980,390,1928,0,2440,1515,1,1,0
201000,5,1.75,1.5,0,0,3,6,1660,0,1915,0,1660,1624,7,0,0
2384000,5,2.5,2,0,4,5,10,3370,280,1921,0,2880,1798,1,1,0
1384000,4,3.25,1,0,3,3,11,2690,1600,1997,0,3860,1751,2,1,0
1400000,4,3.25,1,0,3,3,11,2690,1600,1997,0,3860,1577,2,1,0
305000,4,2.25,1,0,0,3,8,1350,600,1979,0,2150,1611,4,1,0
487000,3,2,1,0,0,5,8,1720,870,1948,0,1570,1457,1,1,0
390000,3,2.5,1,0,0,4,8,1930,0,1988,0,2350,1424,4,0,0
548000,2,1,1,0,0,4,7,1170,300,1916,0,1570,1716,1,1,0
268750,4,1,1,0,0,3,6,800,0,1943,0,1310,1594,1,0,0
819900,5,2.75,2,0,0,3,9,3150,0,2013,0,1560,1787,2,0,0
520000,3,2.25,2,0,0,3,8,2030,0,1984,0,2660,1624,2,0,0
230000,3,2,1,0,0,3,7,1450,0,2003,0,1520,1718,3,0,0
240000,3,1.75,1,0,0,3,7,1510,0,1969,0,1510,1522,3,0,0
232000,2,1,1,0,0,3,6,960,280,1922,1984,1820,1672,1,1,1
240500,2,1,1,0,0,3,6,960,280,1922,1984,1820,1485,1,1,1
274975,3,2.5,2,0,0,3,9,3030,0,1987,0,3080,1620,2,0,0
740000,4,2,1.5,0,0,4,9,2050,0,1922,0,2320,1672,1,0,0
186375,3,1,1,0,0,2,7,1000,0,1952,0,1150,1437,1,0,0
790000,3,2.25,1,0,0,4,9,1590,780,1977,0,2500,1714,2,1,0
880000,4,3.5,2,0,0,3,9,1890,910,1951,2002,2370,1661,1,1,1
279000,6,1.75,2,0,0,4,7,2240,0,1955,0,1590,1449,1,0,0
295000,3,2,1,0,2,3,8,1810,0,1991,0,1910,1710,8,0,0
640000,2,1,1,0,0,3,7,1070,0,1924,0,1710,1457,1,0,0
940000,4,2,2,0,0,5,9,2490,0,1968,0,2770,1736,1,0,0
260000,4,2.5,2,0,0,3,7,1960,0,2003,0,1800,1640,4,0,0
559900,3,2.75,1,0,0,3,9,1860,1070,2004,0,2580,1767,2,1,0
791500,4,2,1.5,0,0,5,7,1510,0,1911,0,1820,1717,1,0,0
265000,3,1.75,1,0,0,3,7,1420,0,1954,0,1740,1682,1,0,0
245000,3,1.75,1,0,0,3,7,1740,0,1954,0,880,1434,1,0,0
